"idx","sentence","magnitude","score"
0,"さんぽさーーん!",0.1,-0.1
0,"御祝いの言葉嬉しいです、ありがとうございます!。",0.8,0.8
0,"これからもイベントとか内田さんのライブとかお会いすることあればどうぞよろしくお願いします...!!",0.8,0.8
1,"ありがとう!!!。",0.5,0.5
1,"うるさくてごめんよ。",0.3,-0.3
1,"これからも仲良くしてね",0.6,0.6
2,"おはようございます洗濯日和で～す今日はお家の事頑張ります。",0.7,0.7
3,"同じく",0.4,-0.4
4,"一応wwwwwwwwww。",0.1,0.1
4,"でも、ちーちゃんキモイもん大好きやん?。",0.2,-0.2
4,"仲良くしてよ",0.2,0.2
5,"初風邪。。",0.1,0.1
5,"こう見えて体弱い系女子。",0.6,0.6
6,"全然勉強できてないのに4時に布団入ってまだねれないんだけど",0.1,0.1
7,"ラフが汚すぎてペン入れ進まん",0.7,-0.7
8,"12月突入!!︎",0.5,0.5
8,"慣れない歌とダンスの練習で眠れやしねぇ...",0.8,0.8
9,"スカパー!",0.1,0.1
9,"契約してないから横浜の試合観れないでは内科。(",0.8,-0.8
9,"ダジャレぶっこむな)",0.1,0.1
10,"これからは吉祥寺で飲む",0.2,0.2
11,"待って今んとこわたしのしゅきだけの一方通行",0.6,-0.6
12,"歯医者が終わった。",0.8,-0.8
12,"次回は被せる。",0.0,0.0
12,"一万掛かるって。",0.8,-0.8
13,"お腹減ったなぁ。",0.3,-0.3
13,"あ、昼たべてないや",0.3,-0.3
14,"慎吾おはよう。",0.0,0.0
14,"連動になってなかったけど、見てきたよ。",0.4,0.4
14,"御家族の笑顔が本当に素敵。",0.9,0.9
14,"記事読んだらデフリンピックの事も分かるかな?。",0.1,0.1
14,"慎吾のおかげで知らなかった事を知れる。",0.7,0.7
14,"明日、絶対。。",0.1,0.1
14,"買うね。",0.1,0.1
14,"今日の。。",0.0,0.0
14,"はgetしたよ",0.1,0.1
15,"えっ!(",0.3,-0.3
15,"笑)恥ずかしい(笑)。",0.3,0.3
15,"また絡もうね絡んできてね〜〜♡。",0.3,0.3
15,"わたしもいっきまーす",0.2,0.2
16,"おはよー(。",0.0,0.0
16,"^^)人(^^。)。",0.0,0.0
16,"ちょっと凹んだけど頑張るよ。",0.8,0.8
16,"夜、楽しみだね〜暴れてください",0.8,0.8
17,"もーあさから。。",0.4,0.4
17,"生理痛がひどい。。",0.2,0.2
17,"モー嫌だわさ。",0.5,-0.5
18,"さくちゃーん!!",0.1,0.1
18,"ありがとう〜〜。",0.4,0.4
18,"朝晩寒いのとイベの疲れかも...",0.1,-0.1
18,"ゆっくり休めるようにするねー!",0.0,0.0
18,"本当ありがとうー!!",0.0,0.0
19,"おぉぉぉぉすごいですねぇ。",0.6,0.6
19,"キチンと正装して。",0.1,0.1
19,"今井遥さんも一緒って、これまたスゴイ。",0.9,0.9
19,"訪問お疲れ様でした。。",0.2,-0.2
20,"電車で巨人ファンのサラリーマン軍団に試合結果聞かれましたごめんな〜...って",0.7,0.7
20,"言われました...",0.2,0.2
20,"ヽ(`Д。́。",0.0,0.0
20,"ムキー!!",0.0,0.0
21,"おはようございます。",0.2,0.2
21,"走り出したら小雨でした。",0.2,0.2
21,"今の季節。",0.1,0.1
21,"小雨も気持ち良いです",0.9,0.9
22,"リビングにいると風呂の戸が勝手に開閉してて怖い",0.5,-0.5
23,"全部か〜ありがと、こころしとく",0.8,0.8
24,"良幸くん可愛い何かいつものヤスじゃない",0.9,0.9
25,"僕も最近同じような事をよく思います。",0.5,0.5
25,"知っていて損はないと思いますし、知っている事で共通の話題になり、そこから色々派生する場合もあると実感してます",0.9,0.9
26,"花丸安定くん「僕の目を見て!",0.4,0.4
26,"キリッ」。",0.1,0.1
26,"※フラグです",0.3,0.3
27,"残念...",0.6,-0.6
27,"はずれです。",0.9,-0.9
27,"8/28(火)まで一投稿に付き一回チャレンジできるよ。",0.4,0.4
27,"マックフルーリー。",0.0,0.0
27,"白いブラックサンダーが8/29(水)より全国で販売開始絶対食べてね。",0.4,0.4
28,"好きな時に好きな仲間と好きなことをする。",0.8,0.8
28,"納得。",0.2,0.2
29,"やと思うな〜。",0.1,0.1
29,"ほんまにな!!︎",0.5,0.5
30,"なにすた",0.0,0.0
31,"フル単はおもんな",0.6,-0.6
32,"てれてれてってー",0.0,0.0
33,"人山生誕じゃないとかきれそー。",0.0,0.0
33,"今年中にやらないと98が。",0.3,-0.3
34,"はじめまして!!︎",0.9,0.9
34,"にくおと申します!!︎",0.8,0.8
34,"遅くなりましたがイナイレタグの反応ありがとうございます。",0.2,-0.2
34,"誤反応でなければ繋がりませんか?",0.3,-0.3
35,"腹が痛～～～い",0.6,0.6
36,"おはようございますッ。",0.0,0.0
36,"お気に入りを。",0.5,0.5
36,"ありがとうございます。。",0.5,0.5
36,"トマトたくさん収穫できましたね～おいしそうです",0.9,0.9
37,"うわぁ早起きだね!",0.1,0.1
37,"元気りんりんぎゃんばりんこ",0.6,0.6
38,"そのくせレフィア超絶引けないし",0.9,-0.9
39,"あなたなんなの。",0.2,-0.2
39,"←。",0.0,0.0
39,"いや全部じゃなきゃ嫌だ",0.8,-0.8
40,"乃木坂ちゃん、おはようございます(*'ω'*)。",0.6,0.6
40,"こっちは風が強いだけで雨降ってはないのでまだマシか............。",0.3,-0.3
40,"今日もよろしくお願いします(*'ω'*)",0.7,0.7
41,"動画、見ました!",0.5,0.5
41,"歌うとノリが良くてスラッと歌えるけど、ピアノで弾くところ見ると超難しそう。",0.3,0.3
41,"ジョンからのメッセージ嬉しいですね",0.9,0.9
42,"みーが嘘つく",0.1,0.1
43,"ねえ、まじなんなの",0.5,-0.5
44,"確かに頭湧いてるなww。",0.5,0.5
44,"なんでもかんでもラブライブのせいにするなって話",0.2,0.2
45,"ずるさんおはまる〜(๑°꒵°๑)・*♡。",0.3,0.3
45,"風強いね〜。",0.3,0.3
45,"気をつけてね",0.0,0.0
46,"次男君こんな時間から昼寝したまぁやっと静かな時間過ごせるから今のうちに夕飯作ってしまおう今日は時間に余裕のある夜を過ごせそうだ",0.7,0.7
47,"びびったー。",0.2,0.2
47,"勉強してたら急に部屋の電気、パッ!。",0.3,0.3
47,"って消えて一瞬心臓とまるかと思った!。",0.5,0.5
47,"このタイミングでこの時間に、電球切れるとかほんまにやめてほしい!。",0.8,-0.8
47,"なんかムダに目覚めたし",0.7,-0.7
48,"おはようございます。",0.2,0.2
48,"13°CΣ(。゚",0.1,0.1
48,"Д゚)気温差大きいですね...",0.3,-0.3
48,"体調崩さないよう気をつけてください!",0.4,-0.4
48,"私も気を付けます!!。",0.0,0.0
48,"私は補講があるので今日から大学です!",0.4,0.4
48,"休み明けで辛いですが、明日郁くんに会えるのを楽しみにがんばってきます",0.6,0.6
49,"gm。",0.1,0.1
49,"とゆうか寝てない寝れてない",0.1,-0.1
50,"久々にストレス解消で飲んだら。",0.8,0.8
50,"この有様",0.3,0.3
51,"食料を買いに...。",0.1,0.1
51,"オープンまで、しばし待機",0.1,0.1
52,"この顔が総てを物語っているわね",0.3,-0.3
53,"くりったるうつくしい〜〜",0.2,0.2
54,"次の日またみるwwwwたまに奇跡的にあるんやて。",0.7,0.7
54,"お年玉で半分けーぽっぷ",0.1,0.1
55,"おはよ!。",0.0,0.0
55,"一昨日のリハビリの後から、脚を引きずって歩いているのだけれど。",0.2,0.2
55,"病友に言わせると、筋肉痛で脚引きずるほどはあり得ないって。",0.0,0.0
55,"この土日、変わらなければ火曜日の診察に行くしかないかな。",0.6,-0.6
56,"どーよーしすぎてまちがえたもう知らないっ!",0.5,-0.5
56,"知らないっ!",0.4,-0.4
56,"知らないっ!",0.4,-0.4
56,"だった",0.0,0.0
57,"ちゃんと覚えてないけどなんか顔絵文字増えた??",0.3,-0.3
57,"説明見るとなんじゃそりゃ?",0.6,-0.6
57,"てのもある。",0.1,0.1
57,"←がっかりしたが安心した顔。",0.7,-0.7
57,"←眠い顔",0.3,0.3
58,"とかいいながらいまのアイコンプリじゃないよな?",0.4,0.4
58,"まず、なぜ前髪そんなうまくできるんだ←。",0.3,-0.3
58,"残念ながらさすがの私もネガになるかも...",0.2,-0.2
59,"電波悪くて応答鈍かったんだ〜!。",0.5,-0.5
59,"うへえ...",0.1,-0.1
59,"ありがとう。",0.4,0.4
59,"あさひちゃんのコラボも見たいよ",0.5,0.5
60,"せめて邪ンヌを仲間にしたい...",0.2,-0.2
60,"ハアハア",0.0,0.0
61,"DJ楽しかった!!(",0.8,0.8
61,"^^)♪♪。",0.5,0.5
61,"明日5時起きどうしよ",0.0,0.0
62,"エンジン割れてるってこと～??",0.5,-0.5
62,"流石だなぁ。",0.0,0.0
63,"(╭☞•́⍛",0.0,0.0
63,"̀)╭☞それな。",0.2,0.2
63,"ちまちま描くから集中力全然持たないし(私だけかも)。",0.1,0.1
63,"いやいや!",0.1,0.1
63,"それはこっちの台詞だよ...",0.5,0.5
63,"指とは思えない綺麗さで羨ましい",0.5,0.5
64,"あっ!",0.2,0.2
64,"さッちゃんも。",0.0,0.0
64,"うちさ、ホントに制作中止続きで、何としてもGETしたいって意地になって参加したけど、ことごとく連絡取れないとか制作中止の事態に...。",0.7,-0.7
64,"自分疫病神なんじゃないかと本当に思ってたヒョンライン参加したけど、何一つ届いてない(泣)もう泣けてくる",0.8,-0.8
65,"おはようございます、台風過ぎました。",0.4,-0.4
65,"今日もがんばるんば←",0.2,0.2
66,"朝イチで万太郎の周回してましたが落ちずでも負けることはなくなって成長を感じます笑。",0.6,0.6
67,"おはももか。",0.0,0.0
67,"5:00起きからの労働中。",0.1,-0.1
67,"今日も一日がんばりマツコ\(^o^)/。",0.5,0.5
67,"モノノフの皆さん〜「いってらっしゃーい」。",0.2,0.2
68,"Zaynの買った動くロボットってなんだろーな?",0.1,-0.1
69,"僕もケース買おう。",0.5,0.5
69,"RT。。",0.1,0.1
69,"お薬ケースを手に入れた今まで会社においてたサプリ一式も小分けにして持ち歩けるやん",0.1,0.1
70,"(*。́▿",0.1,0.1
70,"`*)ゆみさん!",0.1,0.1
70,"おはよう☆。",0.1,0.1
70,"うん♪笑顔を忘れずに。",0.5,0.5
70,"良い一日を、今日もヨロシク!",0.9,0.9
71,"ストパタグ反応いただきありがとうございます!",0.0,0.0
71,"ストパでリカルドしていたDakaraと申します初回のみ定型文で失礼します。",0.0,0.0
71,"良かったら仲良くしてください。",0.7,0.7
71,"フォロー失礼します!。",0.6,0.6
71,"って、メグメグ..?",0.0,0.0
71,"メグメグ!?",0.0,0.0
71,"池ハロルチアーノ初出しので挨拶させてください",0.2,0.2
72,"1年とか死んぢゃう",0.3,-0.3
73,"朝起きて時計見て。",0.2,0.2
73,"うわ今日テストやん!",0.2,-0.2
73,"ってなって。",0.1,0.1
73,"ショックやった",0.7,-0.7
74,"しごおわだぜー",0.0,0.0
75,"さえちゃんお家に電話したのに出なかった明日朝には行くね",0.0,0.0
76,"おはようです!",0.1,0.1
76,"今日はお天気です!",0.6,0.6
76,"お友達が来てくれるってまた用事がはかどりますよね!",0.9,0.9
76,"ささーとやって!",0.2,0.2
76,"お友達と楽しい一日になりますように!",0.8,0.8
76,"今日もよろしくです!",0.8,0.8
77,"おけい",0.4,0.4
78,"あのバカしてた頃が懐かしいなってなる。",0.4,0.4
78,"制服っていいなって",0.8,0.8
79,"誘導するのめちゃくちゃ上手そう赤井さん(笑)皆知らない内に友情エンド...",0.9,0.9
79,"零くんだけ以上に難易度高いです難しい。",0.3,-0.3
79,"ってレビューに書かれるやつw。",0.0,0.0
79,"あかあむ横目に見ながら自分はキッドと付き合う最高じゃん...w。",0.5,0.5
79,"ふふふ..",0.9,0.9
79,"あかあむ勢にバカ売れするの間違いない...",0.4,-0.4
79,"ただし他CPなし赤安のみ笑",0.6,0.6
80,"明日大丈夫ぅ",0.0,0.0
81,"おはよー。",0.1,0.1
81,"お弁当作りお疲れ様。",0.3,0.3
81,"今日も元気によろしく。",0.9,0.9
81,"今。",0.1,0.1
81,"薬もらいに病院です",0.3,-0.3
82,"ハルちゃんオハよぉ。",0.2,0.2
82,"こりゃ凄いわ。",0.9,0.9
82,"アゴ外れるよ〜Σ(゚◇゚;)ゲゲッ。",0.1,-0.1
82,"まだまだ暑いけどもうちょっとだけがんばろぉね。。",0.0,0.0
82,"今日もよろしくね〜(*^o^)ノ⌒☆+゚・",0.3,0.3
83,"風邪キャー",0.0,0.0
85,"去年のワイじゃないか...辛かっ",0.2,-0.2
85,"た",0.1,0.1
86,"バルサン手に入ってないから、取り敢えずボンの部屋から見直すよ",0.5,-0.5
87,"静かにしやがれ",0.3,0.3
88,"むかぁ〜",0.0,0.0
89,"だって、ゆうまやらんとか言うから。",0.4,-0.4
90,"今日いきなり寒いな突然の秋到来かーーー",0.5,-0.5
91,"つーやんさん、おはようございます^_^サンデバほぼリクhitおめでとうございます",0.0,0.0
92,"おはようさんでございます。。",0.8,0.8
92,"なんとか、無事に朝を迎えられて。",0.0,0.0
92,"ビーの散歩も行って来た。。",0.1,0.1
92,"風おさまったけど凄い湿気。",0.9,0.9
92,"工事現場のフェンス、おっちゃん一応留めとかはったけど、何かやり方がずさん。",0.6,-0.6
92,"コーン倒れて道に転がってたけど立てたらへんだわ。",0.1,0.1
92,"風の音でビーが怖がり、ほとんど寝不足の朝",0.9,0.9
93,"レモン全く思いつかなかった。",0.1,-0.1
93,"初チューレモン?",0.0,0.0
93,"んなやつおらん(笑)",0.2,-0.2
94,"おはようございます",0.0,0.0
95,"今日は息子のメガネを買いに行く(๑و",0.5,0.5
95,"̀Δ•́)و。",0.3,0.3
95,"一年前に買ったメガネ無くすバカぁ(TдT)。",0.7,-0.7
95,"もう安いのしか買わないからな。",0.7,-0.7
95,"街へ行くのでカルディとかスタバに行きたいわぁ",0.1,-0.1
96,"フォローはずれてた",0.9,-0.9
97,"わーー。",0.1,0.1
97,"テストやー。",0.2,0.2
97,"ほんま頑張らな～(。́",0.6,0.6
97,"・_・`)。",0.0,0.0
97,"今日みたいに、寝過ごして朝勉できひんことにならんようにしやな...。",0.0,0.0
97,"まぁ、とりあえず全力だそっ",0.4,0.4
98,"起きたらえりりんとももで一つの寝袋に一緒に入ってたまじバイブスモンスター",0.0,0.0
99,"野生の何かwwwクマちゃんどうした!?。",0.2,-0.2
99,"煩悩は何よりも強いさ。",0.0,0.0
99,"大...",0.1,0.1
99,"事?",0.0,0.0
99,"うん...",0.3,0.3
99,"凡吉くんが必死になって止めてくれるよね!",0.1,-0.1
99,"陰原くんのために、陰用きちくんの耳をチクチク縫ってあげる凡吉くんを想像したら和んだよ!",0.1,0.1
100,"おはようございます。",0.2,0.2
100,"LINEお一人様グループ。",0.1,0.1
100,"無事に作れました。",0.9,0.9
100,"教えてくれてありがとう(*。́∀",0.8,0.8
100,"人)。‹‹",0.0,0.0
100,"\(。́ω",0.0,0.0
100,"`。)",0.1,0.1
100,"/››。‹‹",0.0,0.0
100,"\(。́)",0.0,0.0
100,"/››。‹‹",0.0,0.0
100,"\(。́ω",0.0,0.0
100,"`)/››",0.1,0.1
101,"TLをとめちゃん色にそめたげる。",0.0,0.0
102,"兄と話が全く噛み合わない。。",0.9,-0.9
102,"兄『コンビに行ってくる』。",0.0,0.0
102,"私『あー。(",0.2,0.2
102,"アーモンドチョコ持って)食べる?』。",0.0,0.0
102,"兄『だからコンビに行ってくる。』。",0.2,0.2
102,"私『食べる?』。",0.0,0.0
102,"兄『コンビに行ってくる』。",0.0,0.0
102,"私『だから食べる?』。",0.0,0.0
102,"兄『コンビに行ってくる』。",0.0,0.0
102,"食べるか食べないかハッキリしろ。",0.5,-0.5
103,"いろいろショック過ぎて立ち直るまでに時間かかったわ",0.9,-0.9
104,"あー、どっキュンだこりゃ",0.8,0.8
105,"おはよ〜テスト勉強しなきゃ〜",0.8,0.8
106,"おんねる移動で一緒なれ",0.3,0.3
107,"にんにく臭くなるんじゃ",0.8,-0.8
108,"こーるみー後夜祭お疲れ様。",0.0,0.0
108,"たっくさん楽しめたかなぁ?。",0.3,0.3
108,"ゆなも絶対いつかそうゆうイベントに行きたいです笑っ。",0.9,0.9
108,"会いに行きたい~~~笑。",0.8,0.8
108,"お疲れ様でしたっ!",0.0,0.0
108,"笑",0.2,0.2
109,"電磁気だりぃー",0.0,0.0
110,"大丈夫ちゃいます!!!!",0.9,0.9
110,"あした寝坊したらダメですよ!!!",0.7,-0.7
111,"また年末に嫌な事おきそーな予感。",0.3,-0.3
111,"ほんまなんもありませんように",0.8,-0.8
112,"あと2日がんばる、、、",0.8,0.8
113,"KEIちゃん。",0.3,0.3
113,"あみちゃんおはよう。",0.2,0.2
113,"ジヨンはこれぞジヨン!",0.6,0.6
113,"って。",0.1,0.1
113,"感じよね(♡ॢ˃̶̤̀◡˂̶̤́♡ॢ)。",0.8,0.8
113,"あみちゃんジヨン率上昇?。",0.0,0.0
113,"浮気しとるし〜www",0.8,0.8
114,"激ギレブリブリ丸",0.0,0.0
115,"え!!!!!",0.2,-0.2
115,"そおなん!?",0.0,0.0
116,"あらピアノも出来ちゃうんですね",0.9,0.9
117,"んね!",0.1,0.1
117,"うちもびっくりして部屋で1人で喜んでたバカ犬、misty思い出して泣きそう(。",0.5,0.5
117,"˶。́⚰",0.0,0.0
117,"︎`˵。)",0.1,0.1
117,"笑笑。",0.2,0.2
117,"そっかそっか私は今日から新学期だべももちゃんのツイートまた楽しみにしてる〜",0.5,0.5
118,"うーんこの湿気",0.4,-0.4
119,"今夜は会社の決起大会と称した飲み会個人別にもっと決起して欲しい人間の集まりだ。",0.1,-0.1
119,"成績不振者の傷の舐め合い、仲良し集団の結束の場にしか見えない",0.7,-0.7
120,"大丈夫でしたか?",0.0,0.0
121,"あはは(*。̄∇",0.1,0.1
121,"。̄",0.1,0.1
121,"*)。",0.1,0.1
121,"眺めて",0.6,0.6
122,"隙間時間はえすり開く!",0.4,0.4
122,"位にそこそこ頑張ってはいるんですけど1位の人ptすごくて「えっ?",0.0,0.0
122,"寝てる??",0.0,0.0
122,"大丈夫??!」",0.2,-0.2
122,"ってなります。",0.2,0.2
122,"そうなんですよ...",0.1,-0.1
122,"まだ折り返してもいない地獄......",0.4,-0.4
122,"最初は300ptくらい取ってれば500位余裕なのでは〜とか思ってたのに。",0.1,0.1
122,"ふえ〜〜頑張って称号とりましょ",0.9,0.9
123,"乙女座ー",0.1,0.1
124,"今日のNHKスタジオパークからこんにちは→岡本夏生がゲスト!",0.0,0.0
124,"どんな格好で出るんやろ〜?。",0.2,-0.2
124,"NHKって、たまにぶっ飛ぶよねー。",0.3,0.3
125,"コレどストライクなんやけど。",0.1,0.1
125,"こういう派生商品って。",0.0,0.0
125,"すぐに店頭から消えちゃうから悲しい。。",0.7,-0.7
125,"いつ居なくなるか分からないから。",0.6,-0.6
125,"買えるときに買っておこう",0.7,-0.7
126,"な、なんと、、、、。",0.2,0.2
126,"君の恋人になったらとかとっっっってっっっつっっつもっっっなくきになる。",0.9,0.9
127,"そかそか～(∵)。",0.2,0.2
127,"まぁ考え方次第なんだけどね",0.3,0.3
128,"前も騒いでたの用紙じゃなかった?",0.3,-0.3
129,"ありがとうございますもしできれば明日もしていただけませんか?",0.2,-0.2
130,"下手なりに楽しいからいい笑笑。",0.9,0.9
130,"それは同感ー",0.0,0.0
131,"おはまいやん!。",0.2,-0.2
131,"今日から学校が始まる。",0.0,0.0
131,"なんだかんだで行ったら楽しいけど行くまでがな...。",0.0,0.0
131,"頑張ってくぞー。",0.3,0.3
132,"こっちは暑かったよ",0.1,0.1
133,"今日もお勉強頑張るよ",0.8,0.8
134,"「」この顔文字好き笑笑。",0.8,0.8
134,"1。",0.0,0.0
134,"2。",0.0,0.0
134,"3。",0.0,0.0
134,"4。",0.1,0.1
134,"5。",0.1,0.1
134,"6。",0.1,0.1
134,"ほら、アホになれる。",0.5,0.5
135,"うらやまぴー",0.7,0.7
136,"今週は明日のZIPと金曜日のMステのために頑張ろ",0.9,0.9
137,"朝7時って大変!。",0.1,0.1
137,"良台掴めるなら17時間稼働なんて天国ですけど、そんな簡単じゃないですよね～。",0.8,0.8
137,"今日も頑張ってくださいね!。",0.3,0.3
138,"ありがとう",0.5,0.5
139,"いつになく真剣な表情。。。。。",0.2,0.2
140,"らんさん、おはようございます。",0.2,0.2
140,"こちらは午後には晴れるとの予報です。。",0.3,0.3
140,"今日もよろしくお願いします。",0.7,0.7
141,"ゆうかさん、ジミーマッキーの解説ありがとうございます。",0.7,0.7
141,"他にも「気づいたら居なくなってた」って仰ってる方居て笑いましたwwwww。",0.4,0.4
141,"いや、Jr.",0.1,0.1
141,"あるある...。",0.1,0.1
141,"なかなか可愛いお顔してたみたいですねぇ...",0.9,0.9
142,"前髪短すぎて死にそう今日の行事で司会しなきゃいけないんだけど不安でしかなくて吐きそう",0.0,0.0
143,"おはおーん。",0.1,0.1
143,"ちちさんメイン5枚だけ......。。",0.0,0.0
143,"ツール王家につかててジェムがっがっ",0.1,0.1
144,"あぱーーー",0.0,0.0
145,"ツライよ。",0.0,0.0
145,"受験生やめたいって毎日。",0.2,-0.2
145,"思ってる。",0.1,0.1
145,"やんね。",0.1,0.1
145,"リナも。",0.0,0.0
145,"会いに行くことを。",0.5,0.5
145,"目標にして頑張る",0.8,0.8
146,"夏に向けてチームの状況が気になる時期ですね広島市から三原まで行って、遠征で不在だった時にショックなので。",0.3,-0.3
146,"お聞きしました。",0.2,0.2
146,"お仕事忙しいようで、体に気をつけて頑張ってくださいね!!",0.2,0.2
147,"むっちゃんおはょー!",0.1,0.1
147,"朝になっちゃった。",0.2,0.2
147,"見守りたいねぇ...",0.0,0.0
147,"♡♡控えめむっちゃん...",0.3,0.3
147,"あの子の一日24時間を観察してみたいww",0.6,0.6
148,"がーんイヤホン忘れた・・・",0.4,0.4
149,"おっはよー",0.6,0.6
150,"もう限界だ、",0.3,-0.3
151,"(。̄",0.1,0.1
151,"・ω・。̄)",0.2,0.2
151,"ヨロスク(。̄",0.1,0.1
151,"・ω・。̄)。",0.3,0.3
151,"末永く幸せになるんだぞ(?)",0.9,0.9
152,"まふゆにふられた。。",0.0,0.0
152,"もうどうしたらいいかわからないまふゆがいないとわたし。。",0.4,-0.4
152,"だめ。。",0.1,0.1
152,"いきていけない。。",0.7,-0.7
152,"どぉして別れようとかいうの。。",0.0,0.0
152,"あんなに仲良しだったのに。",0.1,-0.1
152,"もう過去にはもどることはできないのかな。。",0.5,-0.5
152,"わたし。。。",0.1,0.1
152,"わたし。。",0.1,0.1
152,"うわあああん",0.0,0.0
153,"うたた寝しちまってたよ",0.1,0.1
154,"ひぃぃぃいいい(。́",0.1,0.1
154,";ω;`)。",0.1,0.1
154,"ももちゃんありあと。",0.2,0.2
154,"なんでまなかのこと知ってるの。",0.1,-0.1
154,"戦前話しかけてくれれば話します!",0.6,0.6
154,"笑。",0.1,0.1
154,"早くあって話まそ!!",0.4,0.4
155,"もういい、明日やる",0.7,0.7
156,"部活あるらしい...",0.2,0.2
157,"最近繋がったばかりだけど結構ふぁぼくれるよね、ありがとう。",0.7,0.7
158,"おはよう～",0.1,0.1
159,"たけるの顔変わりすぎてびっくり",0.3,-0.3
160,"電車ってこんなに揺れたっけ?。",0.3,-0.3
160,"酔ってきた気持ち悪い",0.4,-0.4
161,"なら行きたい学校行かせてって感じよな...。",0.3,0.3
161,"バイトしすぎで体壊さないでね...",0.7,-0.7
162,"この台風の日の独特な湿度感",0.6,0.6
163,"あああこんなクソツイに...",0.9,-0.9
163,"お優しい...。",0.8,0.8
163,"はるさんリアル成人くらいですか?。",0.3,0.3
163,"若さがうらやましい~",0.3,0.3
164,"眠い～寒い～怠い～",0.3,-0.3
165,"おはよーもう、マスコミは終わったねww選挙の事もやってるけど、切り取ってしか報道しないし、早く国会中継見たいわww",0.6,-0.6
166,"おはおは(๑˃̵ᴗ˂̵)。",0.4,0.4
166,"おおっ〜と。",0.0,0.0
166,"やっとトクできたね〜おめでとう",0.6,0.6
167,"なんか東神奈川行きに乗ってる!",0.3,-0.3
167,"大学3年生なのに間違えた",0.4,-0.4
168,"なんか連絡あるまで起きてようかと思ったけど、さすがに無理っぽいもう寝ます。",0.8,-0.8
168,"気をつけて帰らなんよ。",0.3,-0.3
168,"おやすみなさーい",0.1,0.1
169,"ロングシフトいってきます",0.6,0.6
170,"田村さん34歳のお誕生日おめでとうございます*\(^o^)/*。",0.0,0.0
170,"テレビや劇場やツイッターなどでいつも田村さんに沢山の笑い・幸せもらってます!",0.9,0.9
170,"ありがとうございますこれからも麒麟さん大好きです♡9/9の単独ライブも京都から参戦します、楽しみにしています!",0.9,0.9
171,"ほだよ〜。",0.0,0.0
171,"だいじだよ。",0.1,0.1
171,"そうだよ。",0.1,0.1
171,"大丈夫だよ。",0.5,0.5
171,"森の変な騒動。",0.1,-0.1
171,"落ち着きますように...",0.9,0.9
172,"お、肉体改造ですか俺もちょっとたるんできた脇腹をどうにかせんと。",0.4,0.4
172,"来月宇都宮マラソン大会も走るから、今のうちに軽く走りこんどかないといかんなぁ",0.0,0.0
173,"朝起きて描きなおしました。",0.8,-0.8
173,"ビートルズ。",0.1,0.1
173,"/。",0.1,0.1
173,"ラバーソウル。...",0.1,0.1
173,"うっ、うわぁー!!",0.2,0.2
173,"ジョンレノンを間違えてジョンFケネディ描いちゃった。。。。",0.3,-0.3
174,"【拡散希望】どなたか子猫飼っていただける人いませんか?",0.5,0.5
