"idx","text","magnitude","score"
0,"さんぽさーーん!御祝いの言葉嬉しいです、ありがとうございます!。これからもイベントとか内田さんのライブとかお会いすることあればどうぞよろしくお願いします...!!",1.7,0.5
1,"ありがとう!!!。うるさくてごめんよ。これからも仲良くしてね",1.6,0.2
2,"おはようございます洗濯日和で～す今日はお家の事頑張ります。",0.7,0.7
3,"同じく",0.4,-0.4
4,"一応wwwwwwwwww。でも、ちーちゃんキモイもん大好きやん?。仲良くしてよ",0.6,0.0
5,"初風邪。。こう見えて体弱い系女子。",0.8,0.4
6,"全然勉強できてないのに4時に布団入ってまだねれないんだけど",0.1,0.1
7,"ラフが汚すぎてペン入れ進まん",0.7,-0.7
8,"12月突入!!︎慣れない歌とダンスの練習で眠れやしねぇ...",1.4,0.7
9,"スカパー!契約してないから横浜の試合観れないでは内科。(ダジャレぶっこむな)",1.0,-0.1
10,"これからは吉祥寺で飲む",0.2,0.2
11,"待って今んとこわたしのしゅきだけの一方通行",0.6,-0.6
12,"歯医者が終わった。次回は被せる。一万掛かるって。",1.7,-0.5
13,"お腹減ったなぁ。あ、昼たべてないや",0.7,-0.3
14,"慎吾おはよう。連動になってなかったけど、見てきたよ。御家族の笑顔が本当に素敵。記事読んだらデフリンピックの事も分かるかな?。慎吾のおかげで知らなかった事を知れる。明日、絶対。。買うね。今日の。。はgetしたよ",2.7,0.2
15,"えっ!(笑)恥ずかしい(笑)。また絡もうね絡んできてね〜〜♡。わたしもいっきまーす",1.2,0.1
16,"おはよー(。^^)人(^^。)。ちょっと凹んだけど頑張るよ。夜、楽しみだね〜暴れてください",1.8,0.4
17,"もーあさから。。生理痛がひどい。。モー嫌だわさ。",1.2,0.0
18,"さくちゃーん!!ありがとう〜〜。朝晩寒いのとイベの疲れかも...ゆっくり休めるようにするねー!本当ありがとうー!!",0.8,0.0
19,"おぉぉぉぉすごいですねぇ。キチンと正装して。今井遥さんも一緒って、これまたスゴイ。訪問お疲れ様でした。。",1.9,0.3
20,"電車で巨人ファンのサラリーマン軍団に試合結果聞かれましたごめんな〜...って言われました...ヽ(`Д。́。ムキー!!",1.1,0.2
21,"おはようございます。走り出したら小雨でした。今の季節。小雨も気持ち良いです",1.6,0.4
22,"リビングにいると風呂の戸が勝手に開閉してて怖い",0.5,-0.5
23,"全部か〜ありがと、こころしとく",0.8,0.8
24,"良幸くん可愛い何かいつものヤスじゃない",0.9,0.9
25,"僕も最近同じような事をよく思います。知っていて損はないと思いますし、知っている事で共通の話題になり、そこから色々派生する場合もあると実感してます",1.5,0.7
26,"花丸安定くん「僕の目を見て!キリッ」。※フラグです",0.8,0.2
